"SUBURB","NO.OF.ACCIDENTS","NO.OF.BICYCLISTS","NO.OF.PED","NO.OF.VEHICLES","cluster"
"NAR NAR GOON",1,1,0,2,3
"SELBY",1,1,0,4,3
"SHOREHAM",1,1,0,2,3
"SOMERS",1,1,0,2,3
"PATTERSON LAKES",4,4,0,8,9
"THE PATCH",1,1,0,2,3
"LANGWARRIN",1,1,0,2,3
"BLACKBURN NORTH",2,2,0,4,3
"YANNATHAN",1,2,0,3,3
"TOOTGAROOK",1,1,0,2,3
"CLEMATIS",2,2,0,4,3
"MERRICKS NORTH",1,1,0,2,3
"TOORADIN",1,1,0,2,3
"HEATHERTON",1,1,0,2,3
"SOUTH WHARF",1,1,0,2,3
"CAPE SCHANCK",1,1,0,2,3
"CROYDON NORTH",1,1,0,2,3
