SUBURB,NO OF ACCIDENTS,NO OF BICYCLISTS,NO OF PED,NO OF VEHICLES
BADGER CREEK,1,1,0,2
COLDSTREAM,1,1,0,2
WARRANWOOD,1,1,0,2
BLACKBURN SOUTH,4,4,1,7
BITTERN,3,3,0,6
LALOR,4,4,0,8
MOOROOLBARK,3,3,0,6
YARRAMBAT,1,1,0,2
NORTH WARRANDYTE,2,2,0,4
BANGHOLME,1,1,0,2
ARTHURS CREEK,1,3,0,3
ST HELENA,1,1,0,2
KURUNJANG,1,1,0,2
EMERALD,1,1,0,1
NOBLE PARK NORTH,3,3,0,6
CARDINIA,1,1,0,2
CHIRNSIDE PARK,1,1,0,2
HAMPTON EAST,5,5,0,10
ARDEER,2,2,0,3
NARRE WARREN NORTH,2,2,0,4
BAXTER,2,2,0,4
CORA LYNN,1,2,0,2
MACLEOD,1,1,0,2
NAR NAR GOON,1,1,0,2
SELBY,1,1,0,4
SHOREHAM,1,1,0,2
SOMERS,1,1,0,2
PATTERSON LAKES,4,4,0,8
THE PATCH,1,1,0,2
LANGWARRIN,1,1,0,2
BLACKBURN NORTH,2,2,0,4
YANNATHAN,1,2,0,3
TOOTGAROOK,1,1,0,2
CLEMATIS,2,2,0,4
MERRICKS NORTH,1,1,0,2
TOORADIN,1,1,0,2
HEATHERTON,1,1,0,2
SOUTH WHARF,1,1,0,2
CAPE SCHANCK,1,1,0,2
CROYDON NORTH,1,1,0,2
